DATE,TLAACBW027SBOG
1988-06-15,2885.5219
1988-06-22,2857.2168
1988-06-29,2851.2807
1988-07-06,2876.0133
1988-07-13,2871.5659
1988-07-20,2877.638
1988-07-27,2883.9406
1988-08-03,2869.2281
1988-08-10,2886.2708
1988-08-17,2874.6428
1988-08-24,2885.8492
1988-08-31,2870.0101
1988-09-07,2884.0354
1988-09-14,2874.8576
1988-09-21,2898.6304
1988-09-28,2874.8275
1988-10-05,2899.5138
1988-10-12,2898.1602
1988-10-19,2900.8326
1988-10-26,2902.1359
1988-11-02,2916.0024
1988-11-09,2900.4471
1988-11-16,2920.2762
1988-11-23,2919.633
1988-11-30,2927.237
1988-12-07,2926.8749
1988-12-14,2928.1301
1988-12-21,2926.5728
1988-12-28,2930.1201
1989-01-04,2937.5602
1989-01-11,2944.7761
1989-01-18,2935.452
1989-01-25,2942.0934
1989-02-01,2958.2448
1989-02-08,2960.3126
1989-02-15,2964.4001
1989-02-22,2974.4331
1989-03-01,2999.4164
1989-03-08,2965.2778
1989-03-15,2991.1748
1989-03-22,2984.9446
1989-03-29,2975.3628
1989-04-05,2981.1386
1989-04-12,2979.7079
1989-04-19,2986.235
1989-04-26,2991.9152
1989-05-03,3005.8945
1989-05-10,2996.8545
1989-05-17,3017.4267
1989-05-24,3014.2207
1989-05-31,3024.4222
1989-06-07,3011.3191
1989-06-14,3017.1022
1989-06-21,3024.1265
1989-06-28,3017.8935
1989-07-05,3035.0913
1989-07-12,3054.0042
1989-07-19,3029.4138
1989-07-26,3070.9083
1989-08-02,3056.83
1989-08-09,3072.335
1989-08-16,3063.9323
1989-08-23,3080.046
1989-08-30,3055.4603
1989-09-06,3083.7327
1989-09-13,3070.9288
1989-09-20,3093.9343
1989-09-27,3076.0327
1989-10-04,3093.9551
1989-10-11,3091.374
1989-10-18,3096.2323
1989-10-25,3102.4303
1989-11-01,3148.6114
1989-11-08,3100.7634
1989-11-15,3122.7633
1989-11-22,3118.3614
1989-11-29,3116.4447
1989-12-06,3125.4525
1989-12-13,3136.1782
1989-12-20,3132.3993
1989-12-27,3141.0066
1990-01-03,3131.6598
1990-01-10,3153.43
1990-01-17,3152.4565
1990-01-24,3149.551
1990-01-31,3158.5011
1990-02-07,3158.9195
1990-02-14,3150.442
1990-02-21,3176.5431
1990-02-28,3174.0416
1990-03-07,3176.8316
1990-03-14,3185.3503
1990-03-21,3187.7294
1990-03-28,3184.9823
1990-04-04,3190.9287
1990-04-11,3191.142
1990-04-18,3198.9471
1990-04-25,3198.924
1990-05-02,3205.84
1990-05-09,3199.192
1990-05-16,3210.8192
1990-05-23,3209.4502
1990-05-30,3203.3963
1990-06-06,3216.9614
1990-06-13,3234.2761
1990-06-20,3236.5539
1990-06-27,3248.1788
1990-07-04,3235.0955
1990-07-11,3245.4018
1990-07-18,3244.0417
1990-07-25,3267.8778
1990-08-01,3271.7993
1990-08-08,3272.0173
1990-08-15,3300.4054
1990-08-22,3291.1694
1990-08-29,3262.7443
1990-09-05,3299.7328
1990-09-12,3266.0876
1990-09-19,3283.236
1990-09-26,3269.2118
1990-10-03,3281.0125
1990-10-10,3285.8297
1990-10-17,3254.0185
1990-10-24,3273.5833
1990-10-31,3285.8933
1990-11-07,3264.7426
1990-11-14,3300.5094
1990-11-21,3283.6987
1990-11-28,3270.999
1990-12-05,3280.2023
1990-12-12,3295.9645
1990-12-19,3276.1653
1990-12-26,3287.7583
1991-01-02,3286.1597
1991-01-09,3275.2474
1991-01-16,3253.1589
1991-01-23,3299.3481
1991-01-30,3263.8745
1991-02-06,3297.3262
1991-02-13,3280.5744
1991-02-20,3304.208
1991-02-27,3287.0483
1991-03-06,3301.1656
1991-03-13,3300.6779
1991-03-20,3311.2125
1991-03-27,3299.3211
1991-04-03,3302.5551
1991-04-10,3300.1122
1991-04-17,3298.7674
1991-04-24,3283.6567
1991-05-01,3331.3376
1991-05-08,3280.49
1991-05-15,3321.7642
1991-05-22,3285.3289
1991-05-29,3298.7549
1991-06-05,3297.0068
1991-06-12,3310.4078
1991-06-19,3291.0095
1991-06-26,3332.063
1991-07-03,3281.6083
1991-07-10,3305.3769
1991-07-17,3279.5688
1991-07-24,3303.5123
1991-07-31,3314.39
1991-08-07,3310.5465
1991-08-14,3295.9198
1991-08-21,3318.1238
1991-08-28,3299.8627
1991-09-04,3325.1105
1991-09-11,3293.7168
1991-09-18,3326.9326
1991-09-25,3326.9909
1991-10-02,3338.2644
1991-10-09,3309.7536
1991-10-16,3363.8418
1991-10-23,3335.8873
1991-10-30,3339.3567
1991-11-06,3341.6263
1991-11-13,3377.872
1991-11-20,3352.0999
1991-11-27,3375.524
1991-12-04,3359.9734
1991-12-11,3382.5392
1991-12-18,3354.4085
1991-12-25,3398.9076
1992-01-01,3356.9142
1992-01-08,3379.0632
1992-01-15,3396.2563
1992-01-22,3406.9014
1992-01-29,3384.0668
1992-02-05,3405.768
1992-02-12,3392.7069
1992-02-19,3410.0553
1992-02-26,3382.5238
1992-03-04,3408.0963
1992-03-11,3398.1224
1992-03-18,3392.9021
1992-03-25,3403.4459
1992-04-01,3426.5143
1992-04-08,3393.1229
1992-04-15,3448.9091
1992-04-22,3402.1887
1992-04-29,3387.6247
1992-05-06,3397.4242
1992-05-13,3401.8791
1992-05-20,3400.3789
1992-05-27,3413.1329
1992-06-03,3386.7809
1992-06-10,3417.0421
1992-06-17,3391.8439
1992-06-24,3416.6983
1992-07-01,3437.6751
1992-07-08,3398.5752
1992-07-15,3421.4433
1992-07-22,3417.9163
1992-07-29,3383.0976
1992-08-05,3427.348
1992-08-12,3412.2661
1992-08-19,3414.2063
1992-08-26,3422.7554
1992-09-02,3430.1338
1992-09-09,3426.9829
1992-09-16,3452.8697
1992-09-23,3417.7646
1992-09-30,3453.4778
1992-10-07,3425.8447
1992-10-14,3459.1488
1992-10-21,3435.4077
1992-10-28,3438.4869
1992-11-04,3447.0786
1992-11-11,3468.8483
1992-11-18,3438.2076
1992-11-25,3474.5071
1992-12-02,3456.5421
1992-12-09,3469.3944
1992-12-16,3458.105
1992-12-23,3478.4792
1992-12-30,3444.9765
1993-01-06,3466.5182
1993-01-13,3446.3252
1993-01-20,3449.1825
1993-01-27,3436.9268
1993-02-03,3463.8851
1993-02-10,3453.1736
1993-02-17,3466.0672
1993-02-24,3433.9629
1993-03-03,3476.9011
1993-03-10,3462.2772
1993-03-17,3473.5211
1993-03-24,3475.7919
1993-03-31,3497.154
1993-04-07,3486.3815
1993-04-14,3490.2857
1993-04-21,3471.7113
1993-04-28,3491.25
1993-05-05,3497.0612
1993-05-12,3525.0984
1993-05-19,3503.5931
1993-05-26,3527.9011
1993-06-02,3534.5697
1993-06-09,3553.3343
1993-06-16,3544.1852
1993-06-23,3556.6706
1993-06-30,3544.7766
1993-07-07,3590.9515
1993-07-14,3566.4383
1993-07-21,3579.335
1993-07-28,3561.0439
1993-08-04,3585.7396
1993-08-11,3581.0244
1993-08-18,3578.4154
1993-08-25,3578.5624
1993-09-01,3606.5951
1993-09-08,3574.9484
1993-09-15,3632.729
1993-09-22,3581.2185
1993-09-29,3595.7373
1993-10-06,3576.6093
1993-10-13,3591.9092
1993-10-20,3581.5638
1993-10-27,3594.6288
1993-11-03,3581.4655
1993-11-10,3596.0594
1993-11-17,3577.3785
1993-11-24,3611.3837
1993-12-01,3622.907
1993-12-08,3617.5906
1993-12-15,3631.9646
