Date,BalanceSheet_FED,BalanceSheet_global,Bitcoin_Wikipedia_Search,BTC_USD,USD_OnChain_Volume,GDP_usa,HashRate,M2_Liquidity,Dollar_Index,QQQ,GLD,TLT,Ten_YR_USA,VIX,OIL_USD,Miners_Revenue_USD,Mining_Difficulty,Nr_Transactions,Nr_Addresses,BTC_Supply
2019-04-18,,,2905.0,5289.75,694249179.155019,,47352040.9768785,,97.47000122070312,181.1240692138672,120.37000274658205,108.21965026855467,2.559999942779541,12.09000015258789,64.0,10319254.1749627,6393023717202.0,382981.0,563075.0,17653025.0
2019-04-19,,,2478.0,5295.53,691322116.122815,,48305437.7750707,,,,,,,,,10531918.6568264,6393023717202.0,362128.0,597098.0,17654925.0
2019-04-20,,,2501.0,5326.18,373941308.535081,,41631660.1877254,,,,,,,,,9275897.46327422,6393023717202.0,319840.0,456520.0,17656562.5
2019-04-21,,,3269.0,5305.74,360713964.469088,,51199133.0238072,,,,,,,,,11248346.3029415,6357721118108.33,390735.0,426630.0,17658587.5
2019-04-22,,,3179.0,5394.67,740397862.708848,,42318655.5416624,14590.0,97.27999877929688,181.6363525390625,120.37000274658205,107.70010375976562,2.5899999141693115,12.420000076293944,65.69999694824219,9411111.8267204,6353030562984.0,342014.0,498668.0,17660262.5
2019-04-23,,,3082.0,5539.1,825599122.58348,,36634060.0211406,,97.56999969482422,183.94644165039065,120.12000274658205,107.92906188964844,2.569999933242798,12.279999732971191,66.30000305175781,8538019.90240713,6353030562984.0,311753.0,548492.0,17661712.5
2019-04-24,3928273.0,17108.5828,3238.0,5454.58,1576941009.18347,,51477170.5469476,,98.0999984741211,183.36648559570312,120.47000122070312,108.8095932006836,2.5220000743865967,13.140000343322754,65.88999938964844,12202481.9130956,6353030562984.0,404279.0,645489.0,17663750.0
2019-04-25,,,2921.0,5162.67,826381786.755593,,45160953.3019234,,98.1999969482422,184.1107177734375,120.56999969482422,108.65111541748048,2.5339999198913574,13.25,65.20999908447266,10225360.6553522,6353030562984.0,384089.0,577184.0,17665537.5
2019-04-26,,,2590.0,5234.09,1196016425.6664,,47687440.1999331,,98.01000213623048,184.27511596679688,121.37000274658205,109.02091217041016,2.505000114440918,12.729999542236328,63.29999923706055,10183521.9482851,6353030562984.0,381209.0,593570.0,17667425.0
2019-04-27,,,2158.0,5229.48,442516045.090871,,43266088.1284161,,,,,,,,,9112041.03117378,6353030562984.0,359008.0,460846.0,17669137.5
2019-04-28,,,2125.0,5272.45,426337706.723816,,51477170.5469476,,,,,,,,,10771720.9485933,6353030562984.0,383291.0,445722.0,17671175.0
2019-04-29,,,4213.0,5237.96,886065657.844522,,51477170.5469476,14475.5,97.86000061035156,184.6326904296875,120.83000183105467,108.32533264160156,2.5360000133514404,13.109999656677246,63.5,11244134.7806778,6353030562984.0,363207.0,573010.0,17673212.5
2019-04-30,,,2860.0,5350.64,841828231.12052,,44213520.7151697,,97.4800033569336,183.2021942138672,121.1999969482422,108.88005828857422,2.509000062942505,13.119999885559082,63.90999984741211,9672352.74232865,6353030562984.0,346486.0,604307.0,17674962.5
2019-05-01,3889691.0,17120.8661,3882.0,5389.54,878862399.05446,,54003657.4449573,,97.69000244140624,182.6125946044922,120.4000015258789,109.32918548583984,2.510999917984009,14.800000190734863,63.59999847412109,11945018.6431959,6353030562984.0,439549.0,565408.0,17677100.0
2019-05-02,,,3048.0,5500.72,760391105.92548,,58109198.6542231,,97.83000183105467,181.81997680664065,119.94000244140624,108.80856323242188,2.552000045776367,14.420000076293944,61.810001373291016,12941749.3453502,6353030562984.0,452646.0,584864.0,17679400.0
2019-05-03,,,3483.0,5753.38,858064130.790705,,48003251.0621843,,97.5199966430664,184.71969604492188,120.6500015258789,109.1174545288086,2.5309998989105225,12.869999885559082,61.93999862670898,11122649.2294458,6353030562984.0,383032.0,615404.0,17681300.0
2019-05-04,,,2217.0,5840.08,489890940.823787,,43006075.3622154,,,,,,,,,10035261.3673471,6554050172254.76,355910.0,508298.0,17682950.0
2019-05-05,,,2094.0,5794.14,446363838.194411,,42978500.6950398,,,,,,,,,9591032.60781153,6702169884349.0,330732.0,460613.0,17684562.5
2019-05-06,,,2907.0,5748.17,769428196.684081,,50308167.4802404,14553.0,97.5199966430664,183.58876037597656,120.80999755859376,109.41744995117188,2.5,15.4399995803833,62.25,11100910.0764288,6702169884349.0,378476.0,573048.0,17686450.0
2019-05-07,,,2952.0,5819.57,1041193668.85865,,42312167.3509307,,97.62999725341795,180.0124969482422,121.20999908447266,110.2557601928711,2.447999954223633,19.31999969482422,61.400001525878906,10026818.2871987,6702169884349.0,329943.0,578857.0,17688037.5
