Date,BalanceSheet_global
02/16/94,3661.8145
02/23/94,3666.5179
03/02/94,3683.2249
03/09/94,3666.4327
03/16/94,3690.2049
03/23/94,3702.88
03/30/94,3710.9549
04/06/94,3710.1664
04/13/94,3699.5039
04/20/94,3689.0396
04/27/94,3704.1689
05/04/94,3697.2879
05/11/94,3726.8049
05/18/94,3707.8574
05/25/94,3725.3527
06/01/94,3737.0616
06/08/94,3712.0326
06/15/94,3731.4112
06/22/94,3726.9935
06/29/94,3727.8589
07/06/94,3762.5856
07/13/94,3762.2347
07/20/94,3768.4793
07/27/94,3780.1312
08/03/94,3764.0855
08/10/94,3770.0874
08/17/94,3769.7439
08/24/94,3790.0341
08/31/94,3799.162
09/07/94,3775.9345
09/14/94,3784.1028
09/21/94,3797.2099
09/28/94,3790.0042
10/05/94,3794.3822
10/12/94,3810.6841
10/19/94,3798.4625
10/26/94,3814.6193
11/02/94,3813.1955
11/09/94,3794.044
11/16/94,3808.5534
11/23/94,3836.3247
11/30/94,3826.7381
12/07/94,3824.4266
12/14/94,3826.0932
12/21/94,3847.1832
12/28/94,3852.8236
01/04/95,3872.4676
01/11/95,3864.4097
01/18/95,3873.8186
01/25/95,3875.6927
02/01/95,3912.2344
02/08/95,3863.9102
02/15/95,3890.796
02/22/95,3889.8979
03/01/95,3935.7829
03/08/95,3904.7355
03/15/95,3954.6563
03/22/95,3922.8744
03/29/95,3929.1769
04/05/95,3968.0593
04/12/95,3979.2482
04/19/95,3987.8403
04/26/95,4009.5424
05/03/95,3993.2691
05/10/95,4017.2699
05/17/95,4000.5295
05/24/95,4027.0564
05/31/95,4037.8387
06/07/95,4033.5182
06/14/95,4030.9147
06/21/95,4042.6495
06/28/95,4023.5893
07/05/95,4069.0429
07/12/95,4061.3576
07/19/95,4071.435
07/26/95,4088.3196
08/02/95,4092.4792
08/09/95,4089.9818
08/16/95,4090.5939
08/23/95,4097.9843
08/30/95,4078.7935
09/06/95,4112.8916
09/13/95,4116.53
09/20/95,4127.0814
09/27/95,4133.4668
